  0.6360   0.5452  1.4478
  0.6720   0.6188  1.4082
  0.7080   0.7501  1.3735
  0.7440   0.8693  1.3419
  0.7800   1.0892  1.3153
  0.8160   1.2641  1.2911
  0.8520   1.4838  1.2694
  0.8880   1.7547  1.2502
  0.9240   2.1959  1.2342
  0.9600   2.3826  1.2187
  0.9960   3.5912  1.2081
  1.0320   3.6355  1.1971
  1.0680   5.2784  1.1892
  1.1040   5.8687  1.1819
  1.1400   8.1179  1.1764
  1.1760  13.7111  1.1731
  1.2120  16.3329  1.1702
  1.2480 1155.8326  1.1702
  1.2840  68.4280  1.1695
  1.3200  32.0890  1.1711
  1.3560  32.5765  1.1727
  1.3920  15.6088  1.1762
  1.4280  12.3255  1.1807
  1.4640  13.2542  1.1850
  1.5000  11.5258  1.1901
  1.5360   7.2946  1.1982
  1.5720   8.8461  1.2050
  1.6080   8.3933  1.2124
  1.6440   6.4677  1.2221
  1.6800   7.0317  1.2313
  1.7160   7.3749  1.2401
  1.7520   5.8990  1.2514
  1.7880   6.0888  1.2625
  1.8240   6.3804  1.2732
  1.8600   5.2831  1.2864
  1.8960   5.9679  1.2983
  1.9320   5.9326  1.3105
  1.9680   5.5724  1.3236
  2.0040   5.1063  1.3381
  2.0400   5.3996  1.3520
  2.0760   5.1428  1.3669
  2.1120   5.4392  1.3811
  2.1480   4.9708  1.3969
  2.1840   5.5727  1.4112
  2.2200   4.9170  1.4276
  2.2560   5.0803  1.4437
  2.2920   5.0361  1.4602
  2.3280   5.2570  1.4762
  2.3640   4.9675  1.4934
