  0.6360   0.6614  1.9719
  0.6720   0.7367  1.9368
  0.7080   0.8465  1.9049
  0.7440   1.0050  1.8769
  0.7800   1.0848  1.8500
  0.8160   1.2914  1.8265
  0.8520   1.4172  1.8042
  0.8880   1.7266  1.7853
  0.9240   1.9005  1.7675
  0.9600   2.3308  1.7524
  0.9960   2.5023  1.7378
  1.0320   3.3394  1.7266
  1.0680   3.6290  1.7159
  1.1040   4.6786  1.7073
  1.1400   5.2044  1.6994
  1.1760   7.1163  1.6934
  1.2120   7.8027  1.6877
  1.2480  16.2697  1.6849
  1.2840  14.0969  1.6816
  1.3200  53.6154  1.6808
  1.3560  51.3702  1.6798
  1.3920  81.3512  1.6792
  1.4280  31.7555  1.6808
  1.4640  21.6402  1.6833
  1.5000  27.8276  1.6852
  1.5360  13.3595  1.6894
  1.5720  12.9016  1.6938
  1.6080  11.6861  1.6988
  1.6440  11.1920  1.7041
  1.6800  10.4055  1.7100
  1.7160  10.0596  1.7162
  1.7520   8.5188  1.7237
  1.7880   8.4382  1.7314
  1.8240   8.4435  1.7393
  1.8600   7.2896  1.7486
  1.8960   7.2212  1.7583
  1.9320   7.4839  1.7677
  1.9680   7.0553  1.7780
  2.0040   7.3502  1.7881
  2.0400   7.4854  1.7981
  2.0760   6.6552  1.8097
  2.1120   6.7114  1.8214
  2.1480   6.5268  1.8336
  2.1840   6.4026  1.8464
  2.2200   6.6808  1.8589
  2.2560   6.5783  1.8718
  2.2920   6.5767  1.8850
  2.3280   6.7307  1.8982
  2.3640   6.6454  1.9117
