 -3.3541   1.0000
 -3.3306   1.0003
 -3.3070   1.0006
 -3.2834   1.0010
 -3.2598   1.0013
 -3.2362   1.0016
 -3.2126   1.0019
 -3.1890   1.0023
 -3.1653   1.0026
 -3.1416   1.0030
 -3.1179   1.0033
 -3.0942   1.0037
 -3.0705   1.0041
 -3.0467   1.0044
 -3.0229   1.0048
 -2.9991   1.0052
 -2.9753   1.0056
 -2.9514   1.0060
 -2.9276   1.0064
 -2.9037   1.0068
 -2.8797   1.0072
 -2.8558   1.0076
 -2.8318   1.0080
 -2.8078   1.0084
 -2.7838   1.0089
 -2.7597   1.0093
 -2.7356   1.0098
 -2.7115   1.0102
 -2.6873   1.0107
 -2.6631   1.0112
 -2.6389   1.0117
 -2.6146   1.0122
 -2.5903   1.0127
 -2.5660   1.0132
 -2.5416   1.0137
 -2.5172   1.0142
 -2.4928   1.0148
 -2.4683   1.0153
 -2.4437   1.0159
 -2.4192   1.0165
 -2.3945   1.0171
 -2.3698   1.0177
 -2.3451   1.0183
 -2.3203   1.0189
 -2.2955   1.0195
 -2.2706   1.0202
 -2.2456   1.0209
 -2.2206   1.0216
 -2.1956   1.0223
 -2.1704   1.0230
 -2.1452   1.0237
 -2.1199   1.0245
 -2.0946   1.0253
 -2.0691   1.0261
 -2.0436   1.0269
 -2.0180   1.0277
 -1.9923   1.0286
 -1.9666   1.0295
 -1.9407   1.0304
 -1.9147   1.0313
 -1.8886   1.0323
 -1.8625   1.0333
 -1.8362   1.0343
 -1.8097   1.0354
 -1.7832   1.0365
 -1.7565   1.0376
 -1.7296   1.0388
 -1.7026   1.0400
 -1.6755   1.0412
 -1.6482   1.0425
 -1.6207   1.0439
 -1.5930   1.0453
 -1.5651   1.0467
 -1.5369   1.0482
 -1.5086   1.0498
 -1.4800   1.0514
 -1.4511   1.0531
 -1.4219   1.0549
 -1.3924   1.0568
 -1.3626   1.0588
 -1.3324   1.0608
 -1.3018   1.0630
 -1.2707   1.0653
 -1.2392   1.0677
 -1.2071   1.0703
 -1.1745   1.0730
 -1.1411   1.0759
 -1.1070   1.0790
 -1.0721   1.0824
 -1.0361   1.0860
 -0.9991   1.0899
 -0.9607   1.0942
 -0.9207   1.0989
 -0.8788   1.1041
 -0.8346   1.1099
 -0.7872   1.1166
 -0.7358   1.1244
 -0.6785   1.1338
 -0.6118   1.1457
 -0.5268   1.1626
 -0.3286   1.2101
 -0.2538   1.2509
 -0.1959   1.2840
 -0.1466   1.3131
 -0.1028   1.3398
 -0.0627   1.3648
 -0.0255   1.3884
  0.0095   1.4111
  0.0428   1.4330
  0.0747   1.4542
  0.1053   1.4748
  0.1349   1.4949
  0.1635   1.5146
  0.1914   1.5340
  0.2186   1.5531
  0.2452   1.5718
  0.2713   1.5903
  0.2968   1.6086
  0.3219   1.6267
  0.3466   1.6445
  0.3710   1.6622
  0.3950   1.6798
  0.4187   1.6972
  0.4420   1.7144
  0.4652   1.7316
  0.4881   1.7486
  0.5107   1.7655
  0.5332   1.7823
  0.5554   1.7990
  0.5775   1.8157
  0.5994   1.8322
  0.6211   1.8487
  0.6426   1.8651
  0.6641   1.8814
  0.6853   1.8976
  0.7065   1.9138
  0.7275   1.9299
  0.7484   1.9460
  0.7692   1.9620
  0.7899   1.9780
  0.8105   1.9939
  0.8310   2.0098
  0.8514   2.0256
  0.8717   2.0414
  0.8919   2.0572
  0.9121   2.0729
  0.9322   2.0885
  0.9522   2.1042
  0.9721   2.1198
  0.9920   2.1353
  1.0118   2.1509
  1.0315   2.1664
  1.0512   2.1818
  1.0708   2.1973
  1.0904   2.2127
  1.1099   2.2281
  1.1294   2.2435
  1.1488   2.2588
  1.1682   2.2741
  1.1875   2.2894
  1.2068   2.3047
  1.2261   2.3200
  1.2453   2.3352
  1.2644   2.3504
  1.2836   2.3656
  1.3026   2.3808
  1.3217   2.3960
  1.3407   2.4111
  1.3597   2.4262
  1.3786   2.4413
  1.3976   2.4564
  1.4165   2.4715
  1.4353   2.4866
  1.4541   2.5016
  1.4729   2.5167
  1.4917   2.5317
  1.5105   2.5467
  1.5292   2.5617
  1.5479   2.5767
  1.5666   2.5916
  1.5852   2.6066
  1.6039   2.6215
  1.6225   2.6365
  1.6411   2.6514
  1.6596   2.6663
  1.6782   2.6812
  1.6967   2.6961
  1.7152   2.7110
  1.7337   2.7259
  1.7521   2.7407
  1.7706   2.7556
  1.7890   2.7704
  1.8074   2.7852
  1.8258   2.8001
  1.8442   2.8149
  1.8626   2.8297
  1.8809   2.8445
  1.8993   2.8593
  1.9176   2.8741
  1.9359   2.8889
