  0.6270   0.6840
  0.6540   0.7584
  0.6810   0.8269
  0.7080   0.9122
  0.7350   1.0116
  0.7620   1.1157
  0.7890   1.2247
  0.8160   1.3370
  0.8430   1.4222
  0.8700   1.7735
  0.8970   1.7751
  0.9240   2.0539
  0.9510   2.2964
  0.9780   2.4869
  1.0050   2.9477
  1.0320   3.2435
  1.0590   3.8431
  1.0860   4.0997
  1.1130   4.4702
  1.1400   6.4161
  1.1670   6.3546
  1.1940   8.4175
  1.2210  10.3066
  1.2480  14.0753
  1.2750  12.9973
  1.3020  24.2963
  1.3290  30.8815
  1.3560 151.7068
  1.3830 1265.2695
  1.4100 231.9064
  1.4370  25.2370
  1.4640  24.1678
  1.4910  27.6698
  1.5180  14.8299
  1.5450  20.3927
  1.5720  10.4165
  1.5990  12.5252
  1.6260  11.6890
  1.6530   9.6297
  1.6800  10.8407
  1.7070   9.3563
  1.7340   9.5609
  1.7610   7.7165
  1.7880   9.0118
  1.8150   7.6283
  1.8420   7.8082
  1.8690   8.3008
  1.8960   6.9501
  1.9230   8.2507
  1.9500   6.7404
  1.9770   7.0565
  2.0040   6.9624
  2.0310   7.4338
  2.0580   6.8657
  2.0850   7.0648
  2.1120   6.2482
  2.1390   6.9090
  2.1660   6.8621
  2.1930   6.8173
  2.2200   6.8287
  2.2470   6.1048
  2.2740   6.8691
  2.3010   6.4876
  2.3280   6.8168
  2.3550   6.6923
  2.3820   6.7382
