b013 0.4260 41.98 0.23
d033 0.5310 42.96 0.17
d083 0.3330 40.71 0.14
d084 0.5190 42.95 0.29
d085 0.4010 41.96 0.22
d086 0.2050 40.08 0.30
d089 0.4360 42.05 0.20
d093 0.3630 41.73 0.14
d097 0.4360 42.10 0.17
d117 0.3090 41.42 0.27
d149 0.3420 41.63 0.21
e029 0.3320 41.51 0.28
e108 0.4690 42.28 0.16
e132 0.2390 40.42 0.29
e136 0.3520 41.62 0.27
e138 0.6120 42.99 0.18
e140 0.6310 42.89 0.18
e147 0.6450 43.01 0.18
e148 0.4290 42.25 0.20
e149 0.4970 42.23 0.26
f011 0.5390 42.66 0.25
f041 0.5610 42.72 0.17
f231 0.6190 43.05 0.17
f235 0.4220 41.78 0.24
f244 0.5400 42.72 0.26
g005 0.2180 40.37 0.26
g050 0.6330 42.77 0.18
g052 0.3830 41.56 0.22
g055 0.3020 41.39 0.37
g097 0.3400 41.56 0.31
g120 0.5100 42.30 0.21
g133 0.4210 42.22 0.33
g142 0.3990 41.96 0.43
g160 0.4930 42.38 0.26
g240 0.6870 43.04 0.20
h283 0.5020 42.49 0.37
h300 0.6870 43.09 0.17
h319 0.4950 42.40 0.21
h323 0.6030 43.01 0.22
h342 0.4210 42.18 0.16
h359 0.3480 41.89 0.27
h363 0.2130 40.33 0.33
h364 0.3440 41.32 0.17
k425 0.2740 41.12 0.28
k448 0.4010 42.34 0.40
k485 0.4160 42.16 0.39
m027 0.2860 41.53 0.32
m158 0.4630 42.58 0.28
m193 0.3410 41.29 0.23
n256 0.6310 43.09 0.15
n263 0.3680 41.56 0.17
n278 0.3090 41.16 0.21
n285 0.5280 42.63 0.26
n326 0.2680 40.81 0.26
n404 0.2160 40.59 0.31
p454 0.6950 43.53 0.17
p455 0.2840 41.10 0.29
p524 0.5080 42.43 0.22
03D1au 0.5043 42.55 0.18
03D1aw 0.5817 43.12 0.21
03D1ax 0.4960 42.33 0.20
03D1bp 0.3460 41.50 0.25
03D1co 0.6790 43.59 0.27
03D1ew 0.8680 43.95 0.17
03D1fc 0.3310 41.30 0.21
03D1fl 0.6880 43.13 0.23
03D1fq 0.8000 43.92 0.27
03D3af 0.5320 42.84 0.29
03D3aw 0.4490 42.07 0.24
03D3ay 0.3709 41.80 0.23
03D3ba 0.2912 40.56 0.32
03D3cc 0.4627 42.25 0.17
03D3cd 0.4607 42.12 0.18
03D4ag 0.2850 40.98 0.13
03D4at 0.6330 43.26 0.25
03D4cn 0.8180 44.14 0.27
03D4cx 0.9490 44.26 0.17
03D4cz 0.6950 43.11 0.34
03D4dh 0.6268 42.94 0.23
03D4di 0.9050 43.84 0.16
03D4dy 0.6040 42.79 0.32
03D4fd 0.7910 43.75 0.21
03D4gf 0.5810 42.85 0.18
03D4gg 0.5920 42.87 0.25
04D1aj 0.7210 43.46 0.23
04D1ak 0.5260 42.49 0.29
04D2fp 0.4150 42.06 0.17
04D2fs 0.3570 41.65 0.22
04D2gb 0.4300 41.81 0.18
04D2gc 0.5210 42.44 0.33
04D2iu 0.6910 43.42 0.39
04D2ja 0.7410 43.58 0.24
04D3co 0.6200 43.20 0.26
04D3cp 0.8300 43.62 0.17
04D3cy 0.6430 43.34 0.22
04D3dd 1.0100 44.70 0.17
04D3df 0.4700 42.03 0.20
04D3do 0.6100 42.82 0.29
04D3ez 0.2630 40.76 0.21
04D3fk 0.3578 41.41 0.21
04D3fq 0.7300 43.57 0.26
04D3gt 0.4510 41.35 0.23
04D3gx 0.9100 44.21 0.18
04D3hn 0.5516 42.28 0.41
04D3is 0.7100 43.71 0.34
04D3ki 0.9300 44.43 0.19
04D3kr 0.3373 41.46 0.17
04D3ks 0.7520 43.36 0.23
04D3lu 0.8218 43.76 0.22
04D3ml 0.9500 44.14 0.15
04D3nc 0.8170 43.72 0.21
04D3nh 0.3402 41.63 0.17
04D4an 0.6130 43.08 0.39
04D4bk 0.8400 43.88 0.17
04D4bq 0.5500 42.75 0.29
sn1977ff 1.7550 45.31 0.36
sn2002dc 0.4750 42.20 0.21
sn2002dd 0.9500 43.94 0.35
sn2003eq 0.8400 43.63 0.22
sn2003es 0.9540 44.26 0.28
sn2003eb 0.9000 43.60 0.26
sn2003XX 0.9350 43.93 0.30
sn2003bd 0.6700 43.15 0.25
sn2002kd 0.7350 43.10 0.20
sn2003be 0.6400 42.97 0.26
sn2003dy 1.3400 44.88 0.32
sn2002ki 1.1400 44.67 0.30
sn2002hp 1.3050 44.47 0.31
sn2002fw 1.3000 45.02 0.21
HST04Pat 0.9700 44.63 0.37
HST04Mcg 1.3700 45.19 0.26
HST05Fer 1.0200 43.95 0.28
HST05Koe 1.2300 45.13 0.24
HST04Gre 1.1400 44.40 0.32
HST04Omb 0.9750 44.17 0.27
HST05Lan 1.2300 44.93 0.21
HST04Tha 0.9540 43.81 0.28
HST04Rak 0.7400 43.34 0.23
HST04Yow 0.4600 42.19 0.33
HST04Man 0.8540 43.92 0.30
HST05Spo 0.8390 43.41 0.21
HST04Eag 1.0200 44.48 0.20
HST05Gab 1.1200 44.63 0.19
HST05Str 1.0100 44.73 0.20
HST04Sas 1.3900 44.86 0.20
